gene_symbol,count
LINC01128,6
NRXN1,6
FKBP15,6
PRPF40A,6
EPS15L1,6
IGFBP5,6
SAP30L,6
PDE4D,6
RAB2A,6
EIF3B,6
DCUN1D1,6
SYNRG,6
AKT2,6
MDM4,6
EIF5B,6
FGF18,6
NIN,6
HNMT,6
SLC11A1,6
TAPT1,6
SOS2,6
ASB4,6
IRGQ,6
CREBZF,6
UBE3B,6
SEZ6L,6
HNF4A,6
RRBP1,6
PGK1,6
XPNPEP3,6
SOX4,6
ATM,6
DENND1B,6
MPRIP,6
SP100,6
MARCH6,6
ZBTB7A,6
ATP11B,6
SRGAP1,6
GFM1,6
SLFN5,6
DHX30,6
CHRM3,6
C5orf24,6
GUCY1A2,6
SGCD,6
TPM1,6
TAOK1,6
IMPAD1,6
TCL6,6
HECTD1,6
PARVB,6
INO80D,6
RGS5,6
CPM,6
ALS2CR11,6
COPS8,6
RBBP4,6
GAPDH,6
IQCH,6
ACTB,6
SMEK2,6
SRP72,6
PTPN2,6
NOL4L,6
ORAI2,6
PPM1A,6
CHD2,6
PDE5A,6
NFATC3,6
GATAD2A,6
GPLD1,6
CCDC88A,6
HBA1 /// HBA2,6
KRR1,6
EHF,6
ZNF333,6
NFATC2IP,6
PLXDC2,6
RBMS1,6
NEBL,6
SAMHD1,6
ATP11A,6
PHLDA1,6
LOC642852,6
ASXL1,6
PATZ1,6
CLASP2,6
SCN8A,6
SETDB2,6
ICA1,6
CTBP2,6
SUB1,6
HERC4,6
LOC100996724 /// LOC100996761 /// LOC101929792 /// LOC101930416 /// PDE4DIP,6
BCAP29,6
NFYA,6
SLC39A8,6
SSBP2,6
EXOSC3,6
ATP2B2,6
PRKCB,6
SERP2,6
GRIK2,6
POLH,6
N4BP2L2,6
MTAP,6
ARHGEF28,6
ERC1,6
EMP1,6
PCM1,6
ARNT,6
ACRV1,6
NR2F2,6
DAB2 /// LOC101926921,6
SNX5,6
C11orf57,6
PPIL2,6
AZI2,6
PBRM1,6
ADD2,6
ANKRD11,6
PANK2,6
UBE2J1,6
MAPT,6
C11orf31,6
VPS13A,6
KPNB1,6
RAB18,6
SFT2D3 /// WDR33,6
FBXO3,6
TMED5,6
CLTA,6
LAMA3,6
TTC17,6
CAMTA1,6
PDXK,6
GNA11,6
MR1,6
INPP4A,6
LCP2,6
PIEZO2,6
PPM1L,6
CBX5,6
LARP4B,6
NUP50,6
ATP9B,6
RBM8A,6
SMIM7,6
LIG3,6
ARMC8,6
INADL,6
FTCD,6
RNF207,6
ACER3,6
KCNJ5,6
RBMS2,6
MCL1,6
BCL2L14,6
JMJD1C,6
SSX2IP,6
NSFL1C,6
EML4,6
CEP41,6
RQCD1,6
LGALS8,6
CSRNP3,6
VSTM4,6
CACNB2,6
GABPB1-AS1,6
NAV2,6
ZNF654,6
WHSC1,6
BMP2K,6
ARIH1,6
SREK1,6
SKAP2,6
STAT1,6
BICD1,6
PAK2,6
ACACB,6
SLC13A3,6
TNRC6A,6
FXR1,6
RAB7A,6
HNRNPDL,6
KIF13A,6
PDE7A,6
AGPAT3,6
BUB3,6
RUNX2,6
PAPOLA,6
CADPS,6
TMF1,6
THSD4,6
PDS5B,6
GPR161,6
ETNK1,6
TMEM165,6
C21orf58,6
ADAMTSL1,6
SMAD2,6
JRK,6
MAP2K5,6
HDLBP,6
LOC101930112 /// SPG7,6
AVL9,6
C11orf30,6
EDA,6
LEPR /// LEPROT,6
GSPT1,6
FBXL18,6
PLEKHA8,6
LOC283788,6
UBE2D3,6
NOS1,6
DDX3X,6
LUC7L3,6
KPNA1,6
TSHZ2,6
ASXL2,6
ZXDC,6
C16orf13,6
PPP2R2C,6
PTPN11,6
PNISR,6
NADK,6
NTRK2,6
ANAPC5,6
CNIH4,6
ITCH,6
CLEC7A,6
WNK2,6
PRMT2,6
RNF130,6
HECTD4,6
UBE2W,6
ZMYM2,6
FLT1,6
MPZL1,6
TRIM2,6
RSF1,6
CRIPT,6
MGST1,5
CADM2,5
CNOT4,5
HIST1H4A /// HIST1H4B /// HIST1H4C /// HIST1H4D /// HIST1H4E /// HIST1H4F /// HIST1H4H /// HIST1H4I /// HIST1H4J /// HIST1H4K /// HIST1H4L /// HIST2H4A /// HIST2H4B /// HIST4H4,5
SLC16A7,5
MAP4K4,5
DTX3,5
SEMA6D,5
SFTPC,5
ERAP1,5
IGF1R,5
ETV1,5
NR3C1,5
EPPK1,5
KANSL1L,5
CD59,5
ZC3H14,5
LSAMP,5
GAD2,5
NCS1,5
NCAPH2,5
VWA3B,5
TMEM33,5
CYP3A4,5
KCNAB1,5
ST3GAL2,5
MBD1,5
REL,5
MAGIX,5
RAD1,5
NUMA1,5
TCEB3,5
UGGT1,5
PPFIBP1,5
NSMAF,5
FRAS1,5
ONECUT2,5
FCRL2,5
DESI2,5
NCOA3,5
TFRC,5
CPD,5
YWHAZ,5
NAALAD2,5
TPT1-AS1,5
MYNN,5
WDR27,5
KLF7,5
ITGBL1,5
IGHM,5
GIMAP1,5
OCIAD1,5
CRTAP,5
HGSNAT,5
NIPAL3,5
PRDM11,5
RIN3,5
TPM3,5
NBN,5
ITGB8,5
STRBP,5
MYLK3,5
KLHL24,5
PHACTR2,5
DGKH,5
KRAS,5
TNFRSF25,5
CUX1,5
NDUFS1,5
ANKRD44,5
DOCK9,5
MYOZ3,5
TM2D1,5
DDX17,5
UBE2I,5
SF3B1,5
CLCN4,5
GAS7,5
ANKRD13C,5
C1orf21,5
GNAQ,5
ETV5,5
PRKCA,5
KCNQ1OT1 /// LOC101927338,5
DIS3,5
DCTN5,5
LINS,5
HUWE1,5
SEMA6A,5
HGF,5
ZMYND8,5
ZNF451,5
FBXO22,5
SLC1A4,5
SLC7A1,5
DCAF5,5
SPTBN4,5
CREBRF,5
CNOT6L,5
CADM1,5
CASP1,5
RPUSD3,5
KIAA2018,5
AHI1,5
JAG1,5
ST7L,5
RIT1,5
SLC22A7,5
TAF8,5
MAPK8IP3,5
CALU,5
TSPAN3,5
UBR4,5
CASK,5
GGA1,5
SORBS1,5
HINT1,5
TMEM245,5
LYRM2,5
TRPM7,5
SDK2,5
LOC101928826 /// TPT1,5
EMC1,5
GSK3B,5
FYB,5
KLHDC10,5
CCDC40,5
KMT2D,5
PKP4,5
SYNE2,5
GNB5,5
CACUL1,5
TLE1,5
IGLV1-44,5
SLC30A5,5
MAX,5
HLA-DOA,5
VPS35,5
TTN,5
CEACAM1,5
DPH5,5
SLC11A2,5
ARHGAP5,5
LIMD1,5
RHBDD1,5
RALGPS1,5
ZNF8,5
ZNF709,5
PDXDC1,5
LAMA4,5
WDR78,5
GIT2,5
FHL1,5
DNAJC4,5
RABEP1,5
DNAH3,5
CRLS1,5
PAIP1,5
PDCD2,5
ITGB4,5
FGFR1OP,5
ID4,5
H2AFY,5
STK38,5
DIO2,5
DYNLRB1,5
OSBPL10,5
FBXO28,5
VCAN,5
ZNF496,5
UBE3C,5
GATA4,5
CIRBP,5
GLCCI1,5
METTL20,5
KIDINS220,5
NPAS2,5
TAGAP,5
ABCC3,5
BTNL9,5
TRIM14,5
BBS9,5
NDE1,5
PLCE1,5
KDM5B,5
NAV3,5
PKNOX1,5
RECQL5,5
COBLL1,5
HIVEP3,5
LOC101927933 /// LRRC8C,5
RPL22,5
ERAP2,5
TPSAB1,5
RIMKLB,5
CEP128,5
ANK3,5
LMO4,5
CANX,5
IGHD,5
ACSS1,5
RAPGEF2,5
ABTB1,5
ZNRF1,5
MED16,5
FNDC3B /// LOC101928615,5
TPCN2,5
DGKE,5
RBM15,5
KIAA0226,5
ZNF710,5
ICOSLG,5
UBE4B,5
CAMK2D,5
EIF5,5
FBLN1,5
UBASH3B,5
LOC101929036 /// PAH,5
CTSB,5
PGM2L1,5
LUC7L,5
RSBN1,5
STAT5B,5
CEP152,5
FGF14,5
RARB,5
SBF1,5
AP5M1,5
RARS2,5
ATF7,5
TM9SF3,5
AKAP8L,5
USP42,5
ERBB3,5
GPALPP1,5
ACOX1,5
EPOR,5
DYRK1A,5
ILF3,5
ZNF224,5
MMAA,5
NCOR1,5
KLF9,5
INTS4,5
RPLP0,5
ITFG1,5
CEP68,5
SUGP2,5
VWA1,5
RERE,5
RALGAPA1,5
TGFB2,5
MARCKS,5
STYXL1,5
SCARB1,5
GPATCH2,5
EXOC7,5
SAR1B,5
CRYZL1,5
USP36,5
CSHL1,5
RAB3B,5
FBRSL1,5
GPATCH4,5
CDC20B,5
ZNF688,5
COL12A1,5
ASAH1,5
MTO1,5
TRA2A,5
PARD3B,5
ITPKB,5
CD36,5
ADARB1,5
ST8SIA4,5
DTYMK,5
EIF4E,5
KIF6,5
GLP1R,5
RAB27A,5
RECK,5
CALML4,5
SPAG9,5
SNCA,5
TNPO2,5
BPTF,5
HOOK3,5
C17orf104,5
NFX1,5
CADM4,5
DNAJC10,5
CR1,5
SMAD4,5
GRIN1,5
PRKAA2,5
MVB12B,5
SNX13,5
PURA,5
SOS1,5
MECOM,5
MED23,5
TRAF3IP2-AS1,5
CDC42,5
PPM1K,5
BUB1,5
DOCK1,5
CDC14A,5
CEP70,5
HMGB1,5
ESR2,5
SH3BP2,5
CACTIN,5
PHIP,5
PSMG4,5
SPPL3,5
TM4SF1,5
TRUB1,5
ANKS1B,5
USP47,5
CBL,5
SMIM14,5
PHF3,5
C18orf54,5
FAM162A,5
DDHD1,5
DLGAP4,5
PPA2,5
EZR,5
KLK4,5
CYB561,5
CASR,5
ZCCHC6,5
KREMEN1,5
PECAM1,5
HPS1,5
PTP4A1,5
CFTR,5
TRIM8,5
FCRL5,5
TPD52,5
BMPR2,5
ACTR3,5
TMEM50B,5
SIKE1,5
KCNJ15,5
SLC7A8,5
CDS2,5
ZNF568,5
FAF1,5
SPATA6L,5
BMPR1A,5
RALGAPA2,5
IRF2BP2,5
NUDT3,5
NUB1,5
PDK3,5
RAB30,5
GYPA,5
IPP,5
ATP6V0A2,5
TNXA /// TNXB,5
LOC101928198 /// MFAP3L,5
DCLRE1C,5
CACNA1A /// LOC100507353,5
ZFYVE16,5
DENND5B,5
MED14,5
ASMTL-AS1,5
C17orf85,5
MASP1,5
KCTD15,5
CAMK2B,5
MGEA5,5
TAF6L,5
RRP12,5
SNX25,5
IGLC1,5
PPHLN1,5
WDR26,5
CCDC50,5
CSMD1,5
PAPOLG,5
GTDC1,5
DAAM1,5
SAV1,5
FBXL20,5
RNF187,5
GTSE1,5
LSM14B,5
CASC2,5
ARIH2,5
LNPEP,5
CARS2,5
SFPQ,5
UBN2,5
GALNT5,5
CDK11A /// CDK11B,5
UNC5C,5
AQP4,5
CSPP1,5
NDUFA10,5
OR2H1,5
GGCX,5
RHOB,5
EPHA4,5
WSB1,5
CCNY,5
SYT7,5
PTBP3,5
IQCA1,5
HELQ,5
PTPN21,5
ZNF771,5
MIB2,5
FBXW2,5
TUG1,5
PICALM,5
MTF2,5
TRAK1,5
CASZ1,5
SLC25A27,5
AKAP12,5
TMED4,5
FARP2,5
TCAIM,5
FNIP1,5
STX6,5
SLC6A6,5
ATXN1,5
MUC4,5
ACSL6,5
TWF1,5
WDR1,5
MCPH1,5
UBTF,5
PCNXL2,5
SPTLC2,5
PRKAR2A,5
RSU1,5
SLC29A2,5
CTNNA1,5
TERF2,5
CCNG2,5
LPCAT4,5
MAF,5
RBM47,5
SEC16B,5
API5,5
MTDH,5
VAPA,5
BTBD7,5
ZBTB44,5
PPP2R1B,5
EIF4EBP2,5
SYNE1,5
MKL1,5
MRPL41,5
AURKAIP1,5
ZSCAN30,5
WDR61,5
PMS1,5
CBFA2T2,5
VASH1,5
APC,5
C11orf58,5
SPTAN1,5
ROCK1,5
SPON1,5
LDB3,5
PCMTD1,5
FARP1,5
MMP16,5
SON,5
MCTP2,5
TAF9B,5
DOCK6,5
ATP2A3,5
ZC3H7B,5
PROSC,5
MAPK8,5
